text,label,rating,cleaned_text,vader_sentiment,vader_score,textblob_sentiment,textblob_polarity,lr_sentiment,true_sentiment
Very satisfied with this purchase.,Positive,5,very satisfied with this purchase,Positive,0.4754,Positive,0.65,Positive,Positive
Not the best but not the worst.,Neutral,3,not the best but not the worst,Positive,0.5035,Neutral,0.0,Neutral,Neutral
Works but takes some getting used to.,Neutral,3,works but takes some getting used to,Neutral,0.0,Neutral,0.0,Neutral,Neutral
The packaging was great and the product works flawlessly.,Positive,5,the packaging was great and the product works flawlessly,Positive,0.7096,Positive,0.9,Positive,Positive
It will do for now but I will probably upgrade later.,Neutral,3,it will do for now but i will probably upgrade later,Neutral,0.0,Neutral,0.0,Neutral,Neutral
I use it daily and it has held up perfectly.,Positive,5,i use it daily and it has held up perfectly,Positive,0.6369,Positive,0.5,Positive,Positive
This is the worst purchase I have ever made.,Negative,1,this is the worst purchase i have ever made,Negative,-0.6249,Negative,-1.0,Negative,Negative
Best investment I have made in a long time.,Positive,5,best investment i have made in a long time,Positive,0.6369,Positive,0.475,Positive,Positive
One of the best products I have ever bought online.,Positive,5,one of the best products i have ever bought online,Positive,0.6369,Positive,1.0,Positive,Positive
It serves its purpose but I would not buy again.,Neutral,3,it serves its purpose but i would not buy again,Neutral,0.0,Neutral,0.0,Neutral,Neutral
"Scam product, totally different from the description.",Negative,1,scam product totally different from the description,Negative,-0.5719,Neutral,0.0,Negative,Negative
"Standard quality, expected more.",Neutral,3,standard quality expected more,Neutral,0.0,Positive,0.13333333333333333,Neutral,Neutral
"Waste of packaging materials, the product is worthless.",Negative,1,waste of packaging materials the product is worthless,Negative,-0.6908,Negative,-0.5,Negative,Negative
The product is okay but the instructions were confusing.,Neutral,3,the product is okay but the instructions were confusing,Negative,-0.2263,Neutral,0.1,Neutral,Neutral
Not exactly what I expected but acceptable.,Neutral,3,not exactly what i expected but acceptable,Positive,0.4497,Negative,-0.1125,Neutral,Neutral
"I can take it or leave it, does not stand out.",Neutral,3,i can take it or leave it does not stand out,Negative,-0.0516,Neutral,0.0,Neutral,Neutral
"The quality is okay, nothing to write home about.",Neutral,3,the quality is okay nothing to write home about,Positive,0.2263,Positive,0.5,Neutral,Neutral
Works like a charm right out of the box.,Positive,5,works like a charm right out of the box,Positive,0.6369,Positive,0.2857142857142857,Positive,Positive
One of the best products I have ever bought online.,Positive,5,one of the best products i have ever bought online,Positive,0.6369,Positive,1.0,Positive,Positive
It functions but the design could be better.,Neutral,3,it functions but the design could be better,Positive,0.5927,Positive,0.5,Neutral,Neutral
"I am so glad I bought this, it is wonderful.",Positive,5,i am so glad i bought this it is wonderful,Positive,0.7902,Positive,0.75,Positive,Positive
"This is exactly what I needed, works great.",Positive,5,this is exactly what i needed works great,Positive,0.6249,Positive,0.525,Positive,Positive
Really well packaged and arrived in perfect condition.,Positive,5,really well packaged and arrived in perfect condition,Positive,0.7264,Positive,0.6,Positive,Positive
"Incredible value for money, I am very impressed.",Positive,5,incredible value for money i am very impressed,Positive,0.6997,Positive,0.95,Positive,Positive
"Perfect condition, works exactly as shown in the description.",Positive,5,perfect condition works exactly as shown in the description,Positive,0.5719,Positive,0.625,Positive,Positive
Absolutely wonderful. Five stars!,Positive,5,absolutely wonderful five stars,Positive,0.6115,Positive,1.0,Positive,Positive
"Very well made, I can tell it will last a long time.",Positive,5,very well made i can tell it will last a long time,Positive,0.3384,Neutral,0.05000000000000001,Positive,Positive
The product is okay but the instructions were confusing.,Neutral,3,the product is okay but the instructions were confusing,Negative,-0.2263,Neutral,0.1,Neutral,Neutral
"Cheap materials, fell apart quickly.",Negative,1,cheap materials fell apart quickly,Neutral,0.0,Positive,0.3666666666666667,Negative,Negative
"Super happy with this purchase, everything works perfectly.",Positive,5,super happy with this purchase everything works perfectly,Positive,0.9153,Positive,0.7111111111111111,Positive,Positive
Do not waste your money on this junk.,Negative,1,do not waste your money on this junk,Positive,0.3252,Neutral,0.1,Negative,Negative
"Save your money, this is not worth anything.",Negative,1,save your money this is not worth anything,Positive,0.3682,Negative,-0.15,Negative,Negative
The value is okay for the price paid.,Neutral,3,the value is okay for the price paid,Positive,0.5106,Positive,0.5,Neutral,Neutral
Not bad but not great either.,Neutral,3,not bad but not great either,Negative,-0.5448,Neutral,-0.02500000000000005,Neutral,Neutral
Serves its purpose adequately.,Neutral,3,serves its purpose adequately,Neutral,0.0,Positive,0.3333333333333333,Neutral,Neutral
It functions but the design could be better.,Neutral,3,it functions but the design could be better,Positive,0.5927,Positive,0.5,Neutral,Neutral
"Cheap materials, fell apart quickly.",Negative,1,cheap materials fell apart quickly,Neutral,0.0,Positive,0.3666666666666667,Negative,Negative
Disappointed with this purchase.,Negative,1,disappointed with this purchase,Negative,-0.4767,Negative,-0.75,Negative,Negative
The product description was accurate.,Neutral,3,the product description was accurate,Neutral,0.0,Positive,0.4000000000000001,Neutral,Neutral
"Completely useless, wasted my money.",Negative,1,completely useless wasted my money,Negative,-0.763,Negative,-0.35,Negative,Negative
One of the best products I have ever bought online.,Positive,5,one of the best products i have ever bought online,Positive,0.6369,Positive,1.0,Positive,Positive
"Does not fit as described, very misleading.",Negative,1,does not fit as described very misleading,Negative,-0.6253,Neutral,0.0,Negative,Negative
"It does what it says, nothing more nothing less.",Neutral,3,it does what it says nothing more nothing less,Neutral,0.0,Positive,0.16666666666666669,Neutral,Neutral
Broke within the first week of use.,Negative,1,broke within the first week of use,Negative,-0.4215,Positive,0.25,Negative,Negative
The product description was accurate.,Neutral,3,the product description was accurate,Neutral,0.0,Positive,0.4000000000000001,Neutral,Neutral
"Superb quality, would buy again.",Positive,5,superb quality would buy again,Positive,0.6249,Positive,1.0,Positive,Positive
"Standard quality, expected more.",Neutral,3,standard quality expected more,Neutral,0.0,Positive,0.13333333333333333,Neutral,Neutral
Broke within the first week of use.,Negative,1,broke within the first week of use,Negative,-0.4215,Positive,0.25,Negative,Negative
Functional but the design could use improvement.,Neutral,3,functional but the design could use improvement,Positive,0.6124,Neutral,0.0,Neutral,Neutral
Works like a charm right out of the box.,Positive,5,works like a charm right out of the box,Positive,0.6369,Positive,0.2857142857142857,Positive,Positive
Absolutely wonderful. Five stars!,Positive,5,absolutely wonderful five stars,Positive,0.6115,Positive,1.0,Positive,Positive
The product arrived on time but the packaging was poor.,Neutral,3,the product arrived on time but the packaging was poor,Negative,-0.631,Negative,-0.4,Neutral,Neutral
It will do for now but I will probably upgrade later.,Neutral,3,it will do for now but i will probably upgrade later,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Smooth transaction and excellent product quality.,Positive,5,smooth transaction and excellent product quality,Positive,0.5719,Positive,0.7,Positive,Positive
I had high hopes but this was a huge letdown.,Negative,1,i had high hopes but this was a huge letdown,Positive,0.5927,Positive,0.28,Negative,Negative
"It does what it says, nothing more nothing less.",Neutral,3,it does what it says nothing more nothing less,Neutral,0.0,Positive,0.16666666666666669,Neutral,Neutral
"Completely useless, wasted my money.",Negative,1,completely useless wasted my money,Negative,-0.763,Negative,-0.35,Negative,Negative
This product is amazing! Love it!,Positive,5,this product is amazing love it,Positive,0.8402,Positive,0.55,Positive,Positive
Terrible customer service and even worse product.,Negative,1,terrible customer service and even worse product,Negative,-0.7351,Negative,-0.7,Negative,Negative
"Amazing quality and very affordable, highly recommend.",Positive,5,amazing quality and very affordable highly recommend,Positive,0.7818,Positive,0.32,Positive,Positive
Really impressed with the durability and finish.,Positive,5,really impressed with the durability and finish,Positive,0.5256,Positive,1.0,Positive,Positive
"Very disappointing, the product is nothing like advertised.",Negative,1,very disappointing the product is nothing like advertised,Negative,-0.6811,Negative,-0.78,Negative,Negative
"Terrible purchase, already throwing it away.",Negative,1,terrible purchase already throwing it away,Negative,-0.4767,Negative,-1.0,Negative,Negative
"The quality is absolutely terrible, very disappointed.",Negative,1,the quality is absolutely terrible very disappointed,Negative,-0.7935,Negative,-0.9875,Negative,Negative
Works as described. Fair.,Neutral,3,works as described fair,Positive,0.3182,Positive,0.7,Neutral,Neutral
The best part is how easy it is to set up.,Positive,5,the best part is how easy it is to set up,Positive,0.7964,Positive,0.7166666666666667,Positive,Positive
"Five stars, excellent quality and quick delivery.",Positive,5,five stars excellent quality and quick delivery,Positive,0.5719,Positive,0.6666666666666666,Positive,Positive
"I can take it or leave it, does not stand out.",Neutral,3,i can take it or leave it does not stand out,Negative,-0.0516,Neutral,0.0,Neutral,Neutral
Very pleased with the quality and functionality.,Positive,5,very pleased with the quality and functionality,Positive,0.4927,Positive,0.65,Positive,Positive
I have mixed feelings about this purchase.,Neutral,3,i have mixed feelings about this purchase,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Decent product but overpriced in my opinion.,Neutral,3,decent product but overpriced in my opinion,Neutral,0.0,Positive,0.16666666666666666,Neutral,Neutral
Waste of money. Do not recommend.,Negative,1,waste of money do not recommend,Negative,-0.6007,Negative,-0.2,Negative,Negative
"I can take it or leave it, does not stand out.",Neutral,3,i can take it or leave it does not stand out,Negative,-0.0516,Neutral,0.0,Neutral,Neutral
A wonderful product that I would recommend to anyone.,Positive,5,a wonderful product that i would recommend to anyone,Positive,0.7351,Positive,1.0,Positive,Positive
Fast delivery and excellent product.,Positive,5,fast delivery and excellent product,Positive,0.5719,Positive,0.6,Positive,Positive
Looks great and works even better.,Positive,5,looks great and works even better,Positive,0.7906,Positive,0.65,Positive,Positive
I have mixed feelings about this purchase.,Neutral,3,i have mixed feelings about this purchase,Neutral,0.0,Neutral,0.0,Neutral,Neutral
"The product broke under normal use, very poor.",Negative,1,the product broke under normal use very poor,Negative,-0.7346,Negative,-0.185,Negative,Negative
"Average performance, no major complaints.",Neutral,3,average performance no major complaints,Negative,-0.5994,Neutral,-0.090625,Neutral,Neutral
The material is okay but the build could be sturdier.,Neutral,3,the material is okay but the build could be sturdier,Positive,0.1154,Positive,0.5,Neutral,Neutral
"I am so glad I bought this, it is wonderful.",Positive,5,i am so glad i bought this it is wonderful,Positive,0.7902,Positive,0.75,Positive,Positive
"Horrible quality, I want my money back.",Negative,1,horrible quality i want my money back,Negative,-0.4939,Negative,-0.5,Negative,Negative
Disappointed with this purchase.,Negative,1,disappointed with this purchase,Negative,-0.4767,Negative,-0.75,Negative,Negative
"Standard quality, expected more.",Neutral,3,standard quality expected more,Neutral,0.0,Positive,0.13333333333333333,Neutral,Neutral
"Standard quality, expected more.",Neutral,3,standard quality expected more,Neutral,0.0,Positive,0.13333333333333333,Neutral,Neutral
Very pleased with the quality and functionality.,Positive,5,very pleased with the quality and functionality,Positive,0.4927,Positive,0.65,Positive,Positive
Works but takes some getting used to.,Neutral,3,works but takes some getting used to,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Completely dissatisfied with this purchase.,Negative,1,completely dissatisfied with this purchase,Negative,-0.4391,Neutral,0.1,Negative,Negative
I have mixed feelings about this purchase.,Neutral,3,i have mixed feelings about this purchase,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Does not work as advertised.,Negative,1,does not work as advertised,Neutral,0.0,Neutral,0.0,Negative,Negative
Works as described. Fair.,Neutral,3,works as described fair,Positive,0.3182,Positive,0.7,Neutral,Neutral
Waste of money. Do not recommend.,Negative,1,waste of money do not recommend,Negative,-0.6007,Negative,-0.2,Negative,Negative
"This is a great buy, quality is superb.",Positive,5,this is a great buy quality is superb,Positive,0.8481,Positive,0.9,Positive,Positive
Not amazing but also not disappointing.,Neutral,3,not amazing but also not disappointing,Positive,0.3412,Neutral,-2.7755575615628914e-17,Neutral,Neutral
Functional but the design could use improvement.,Neutral,3,functional but the design could use improvement,Positive,0.6124,Neutral,0.0,Neutral,Neutral
"Superb quality, would buy again.",Positive,5,superb quality would buy again,Positive,0.6249,Positive,1.0,Positive,Positive
Fast delivery and excellent product.,Positive,5,fast delivery and excellent product,Positive,0.5719,Positive,0.6,Positive,Positive
Works but takes some getting used to.,Neutral,3,works but takes some getting used to,Neutral,0.0,Neutral,0.0,Neutral,Neutral
"Fantastic purchase, no regrets at all.",Positive,5,fantastic purchase no regrets at all,Neutral,-0.0258,Positive,0.225,Positive,Positive
"Perfect, arrived early and exactly as described.",Positive,5,perfect arrived early and exactly as described,Positive,0.5719,Positive,0.45,Positive,Positive
The packaging was great and the product works flawlessly.,Positive,5,the packaging was great and the product works flawlessly,Positive,0.7096,Positive,0.9,Positive,Positive
Works but takes some getting used to.,Neutral,3,works but takes some getting used to,Neutral,0.0,Neutral,0.0,Neutral,Neutral
"Very low quality, not usable at all.",Negative,1,very low quality not usable at all,Negative,-0.3384,Neutral,0.0,Negative,Negative
"Useless product, complete waste of money.",Negative,1,useless product complete waste of money,Negative,-0.6808,Negative,-0.20000000000000004,Negative,Negative
Does not work as advertised.,Negative,1,does not work as advertised,Neutral,0.0,Neutral,0.0,Negative,Negative
Not worth the price at all.,Negative,1,not worth the price at all,Negative,-0.1695,Negative,-0.15,Negative,Negative
"Good for basic needs, not for heavy use.",Neutral,3,good for basic needs not for heavy use,Positive,0.4404,Positive,0.16666666666666666,Neutral,Neutral
Neither impressed nor disappointed.,Neutral,3,neither impressed nor disappointed,Negative,-0.5724,Positive,0.125,Neutral,Neutral
The material is okay but the build could be sturdier.,Neutral,3,the material is okay but the build could be sturdier,Positive,0.1154,Positive,0.5,Neutral,Neutral
Really impressed with the durability and finish.,Positive,5,really impressed with the durability and finish,Positive,0.5256,Positive,1.0,Positive,Positive
"This product is a scam, do not buy.",Negative,1,this product is a scam do not buy,Negative,-0.5719,Neutral,0.0,Negative,Negative
Works like a charm right out of the box.,Positive,5,works like a charm right out of the box,Positive,0.6369,Positive,0.2857142857142857,Positive,Positive
The worst online purchase I have ever made.,Negative,1,the worst online purchase i have ever made,Negative,-0.6249,Negative,-1.0,Negative,Negative
Above and beyond what I expected for this price.,Positive,5,above and beyond what i expected for this price,Neutral,0.0,Neutral,-0.05,Positive,Positive
The materials are so cheap it is laughable.,Negative,1,the materials are so cheap it is laughable,Positive,0.0516,Neutral,-0.04999999999999999,Negative,Negative
Works but takes some getting used to.,Neutral,3,works but takes some getting used to,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Absolutely wonderful. Five stars!,Positive,5,absolutely wonderful five stars,Positive,0.6115,Positive,1.0,Positive,Positive
One of the best products I have ever bought online.,Positive,5,one of the best products i have ever bought online,Positive,0.6369,Positive,1.0,Positive,Positive
I use it daily and it has held up perfectly.,Positive,5,i use it daily and it has held up perfectly,Positive,0.6369,Positive,0.5,Positive,Positive
"Does not fit as described, very misleading.",Negative,1,does not fit as described very misleading,Negative,-0.6253,Neutral,0.0,Negative,Negative
The packaging was great and the product works flawlessly.,Positive,5,the packaging was great and the product works flawlessly,Positive,0.7096,Positive,0.9,Positive,Positive
"Seems okay so far, time will tell how it holds up.",Neutral,3,seems okay so far time will tell how it holds up,Positive,0.2263,Positive,0.3,Neutral,Neutral
Not amazing but also not disappointing.,Neutral,3,not amazing but also not disappointing,Positive,0.3412,Neutral,-2.7755575615628914e-17,Neutral,Neutral
"Excellent product, very sturdy and well designed.",Positive,5,excellent product very sturdy and well designed,Positive,0.7239,Positive,0.6,Positive,Positive
"It's fine, no complaints.",Neutral,3,its fine no complaints,Negative,-0.4767,Positive,0.4166666666666667,Neutral,Neutral
"I am so glad I bought this, it is wonderful.",Positive,5,i am so glad i bought this it is wonderful,Positive,0.7902,Positive,0.75,Positive,Positive
"Fantastic purchase, no regrets at all.",Positive,5,fantastic purchase no regrets at all,Neutral,-0.0258,Positive,0.225,Positive,Positive
Good enough for occasional use.,Neutral,3,good enough for occasional use,Positive,0.4404,Positive,0.2333333333333333,Neutral,Neutral
Smooth transaction and excellent product quality.,Positive,5,smooth transaction and excellent product quality,Positive,0.5719,Positive,0.7,Positive,Positive
"I am extremely happy with my purchase, would buy again.",Positive,5,i am extremely happy with my purchase would buy again,Positive,0.6115,Positive,0.8,Positive,Positive
Functional but the design could use improvement.,Neutral,3,functional but the design could use improvement,Positive,0.6124,Neutral,0.0,Neutral,Neutral
Good enough for occasional use.,Neutral,3,good enough for occasional use,Positive,0.4404,Positive,0.2333333333333333,Neutral,Neutral
"I can take it or leave it, does not stand out.",Neutral,3,i can take it or leave it does not stand out,Negative,-0.0516,Neutral,0.0,Neutral,Neutral
"It's okay, does the job.",Neutral,3,its okay does the job,Positive,0.2263,Positive,0.5,Neutral,Neutral
"Perfect condition, works exactly as shown in the description.",Positive,5,perfect condition works exactly as shown in the description,Positive,0.5719,Positive,0.625,Positive,Positive
"Very cheaply made, fell apart immediately.",Negative,1,very cheaply made fell apart immediately,Neutral,0.0,Positive,0.52,Negative,Negative
"Perfect condition, works exactly as shown in the description.",Positive,5,perfect condition works exactly as shown in the description,Positive,0.5719,Positive,0.625,Positive,Positive
Exactly as advertised and works perfectly.,Positive,5,exactly as advertised and works perfectly,Positive,0.6369,Positive,0.625,Positive,Positive
Fantastic build quality and very easy to use.,Positive,5,fantastic build quality and very easy to use,Positive,0.7778,Positive,0.4816666666666667,Positive,Positive
I expected a bit more for the price.,Neutral,3,i expected a bit more for the price,Neutral,0.0,Positive,0.2,Neutral,Neutral
"Highly recommend, the product exceeded expectations.",Positive,5,highly recommend the product exceeded expectations,Positive,0.4201,Positive,0.16,Positive,Positive
Good enough for occasional use.,Neutral,3,good enough for occasional use,Positive,0.4404,Positive,0.2333333333333333,Neutral,Neutral
It does the job but I have seen better.,Neutral,3,it does the job but i have seen better,Positive,0.5927,Positive,0.5,Neutral,Neutral
Works as described. Fair.,Neutral,3,works as described fair,Positive,0.3182,Positive,0.7,Neutral,Neutral
"Amazing quality and very affordable, highly recommend.",Positive,5,amazing quality and very affordable highly recommend,Positive,0.7818,Positive,0.32,Positive,Positive
Great quality for the price.,Positive,5,great quality for the price,Positive,0.6249,Positive,0.8,Positive,Positive
"Superb quality, would buy again.",Positive,5,superb quality would buy again,Positive,0.6249,Positive,1.0,Positive,Positive
Awful experience from start to finish.,Negative,1,awful experience from start to finish,Negative,-0.4588,Negative,-1.0,Negative,Negative
Not the best but not the worst.,Neutral,3,not the best but not the worst,Positive,0.5035,Neutral,0.0,Neutral,Neutral
I would give zero stars if I could.,Negative,1,i would give zero stars if i could,Neutral,0.0,Neutral,0.0,Negative,Negative
The item came broken and returning it was a hassle.,Negative,1,the item came broken and returning it was a hassle,Negative,-0.4767,Negative,-0.4,Negative,Negative
"Average product, nothing special.",Neutral,3,average product nothing special,Negative,-0.3089,Positive,0.10357142857142858,Neutral,Neutral
Looks great and works even better.,Positive,5,looks great and works even better,Positive,0.7906,Positive,0.65,Positive,Positive
"Highly recommend, the product exceeded expectations.",Positive,5,highly recommend the product exceeded expectations,Positive,0.4201,Positive,0.16,Positive,Positive
The product description was accurate.,Neutral,3,the product description was accurate,Neutral,0.0,Positive,0.4000000000000001,Neutral,Neutral
Serves its purpose adequately.,Neutral,3,serves its purpose adequately,Neutral,0.0,Positive,0.3333333333333333,Neutral,Neutral
Great customer support and fantastic product.,Positive,5,great customer support and fantastic product,Positive,0.886,Positive,0.6000000000000001,Positive,Positive
I would give zero stars if I could.,Negative,1,i would give zero stars if i could,Neutral,0.0,Neutral,0.0,Negative,Negative
"Very low quality, not usable at all.",Negative,1,very low quality not usable at all,Negative,-0.3384,Neutral,0.0,Negative,Negative
"Terrible purchase, already throwing it away.",Negative,1,terrible purchase already throwing it away,Negative,-0.4767,Negative,-1.0,Negative,Negative
"I love this product, it has made my life so much easier.",Positive,5,i love this product it has made my life so much easier,Positive,0.8062,Positive,0.35,Positive,Positive
Really well packaged and arrived in perfect condition.,Positive,5,really well packaged and arrived in perfect condition,Positive,0.7264,Positive,0.6,Positive,Positive
"Superb quality, would buy again.",Positive,5,superb quality would buy again,Positive,0.6249,Positive,1.0,Positive,Positive
Above and beyond what I expected for this price.,Positive,5,above and beyond what i expected for this price,Neutral,0.0,Neutral,-0.05,Positive,Positive
"Fell apart during first use, total garbage.",Negative,1,fell apart during first use total garbage,Neutral,0.0,Positive,0.125,Negative,Negative
"This is a great buy, quality is superb.",Positive,5,this is a great buy quality is superb,Positive,0.8481,Positive,0.9,Positive,Positive
I expected a bit more for the price.,Neutral,3,i expected a bit more for the price,Neutral,0.0,Positive,0.2,Neutral,Neutral
"Disgusting quality, sent it back immediately.",Negative,1,disgusting quality sent it back immediately,Negative,-0.5267,Negative,-0.5,Negative,Negative
"It does what it says, nothing more nothing less.",Neutral,3,it does what it says nothing more nothing less,Neutral,0.0,Positive,0.16666666666666669,Neutral,Neutral
"Works perfectly, highly recommend.",Positive,5,works perfectly highly recommend,Positive,0.7902,Positive,0.16,Positive,Positive
The quality exceeded what I expected at this price point.,Positive,5,the quality exceeded what i expected at this price point,Neutral,0.0,Neutral,-0.1,Positive,Positive
"Terrible purchase, already throwing it away.",Negative,1,terrible purchase already throwing it away,Negative,-0.4767,Negative,-1.0,Negative,Negative
It does the job but I have seen better.,Neutral,3,it does the job but i have seen better,Positive,0.5927,Positive,0.5,Neutral,Neutral
Great quality materials and good construction.,Positive,5,great quality materials and good construction,Positive,0.7906,Positive,0.75,Positive,Positive
Very impressed with the quality and the fast shipping.,Positive,5,very impressed with the quality and the fast shipping,Positive,0.5256,Positive,0.6,Positive,Positive
The item was defective and customer service was no help.,Negative,1,the item was defective and customer service was no help,Negative,-0.34,Neutral,0.0,Negative,Negative
The worst online purchase I have ever made.,Negative,1,the worst online purchase i have ever made,Negative,-0.6249,Negative,-1.0,Negative,Negative
Nothing special but it works.,Neutral,3,nothing special but it works,Negative,-0.1603,Positive,0.35714285714285715,Neutral,Neutral
Decent product but overpriced in my opinion.,Neutral,3,decent product but overpriced in my opinion,Neutral,0.0,Positive,0.16666666666666666,Neutral,Neutral
"Five stars, excellent quality and quick delivery.",Positive,5,five stars excellent quality and quick delivery,Positive,0.5719,Positive,0.6666666666666666,Positive,Positive
It serves its purpose but I would not buy again.,Neutral,3,it serves its purpose but i would not buy again,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Very impressed with the quality and the fast shipping.,Positive,5,very impressed with the quality and the fast shipping,Positive,0.5256,Positive,0.6,Positive,Positive
Disappointed with this purchase.,Negative,1,disappointed with this purchase,Negative,-0.4767,Negative,-0.75,Negative,Negative
"Amazing quality and very affordable, highly recommend.",Positive,5,amazing quality and very affordable highly recommend,Positive,0.7818,Positive,0.32,Positive,Positive
Above and beyond what I expected for this price.,Positive,5,above and beyond what i expected for this price,Neutral,0.0,Neutral,-0.05,Positive,Positive
"It's fine, no complaints.",Neutral,3,its fine no complaints,Negative,-0.4767,Positive,0.4166666666666667,Neutral,Neutral
The worst quality I have ever seen.,Negative,1,the worst quality i have ever seen,Negative,-0.6249,Negative,-1.0,Negative,Negative
"Avoid at all costs, this is not worth it.",Negative,1,avoid at all costs this is not worth it,Negative,-0.434,Negative,-0.15,Negative,Negative
Best investment I have made in a long time.,Positive,5,best investment i have made in a long time,Positive,0.6369,Positive,0.475,Positive,Positive
The value is okay for the price paid.,Neutral,3,the value is okay for the price paid,Positive,0.5106,Positive,0.5,Neutral,Neutral
"This product is a scam, do not buy.",Negative,1,this product is a scam do not buy,Negative,-0.5719,Neutral,0.0,Negative,Negative
Very impressed with the quality and the fast shipping.,Positive,5,very impressed with the quality and the fast shipping,Positive,0.5256,Positive,0.6,Positive,Positive
"Very well made, I can tell it will last a long time.",Positive,5,very well made i can tell it will last a long time,Positive,0.3384,Neutral,0.05000000000000001,Positive,Positive
The materials are so cheap it is laughable.,Negative,1,the materials are so cheap it is laughable,Positive,0.0516,Neutral,-0.04999999999999999,Negative,Negative
Exactly as advertised and works perfectly.,Positive,5,exactly as advertised and works perfectly,Positive,0.6369,Positive,0.625,Positive,Positive
Middle of the road product.,Neutral,3,middle of the road product,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Decent product but overpriced in my opinion.,Neutral,3,decent product but overpriced in my opinion,Neutral,0.0,Positive,0.16666666666666666,Neutral,Neutral
Good enough for occasional use.,Neutral,3,good enough for occasional use,Positive,0.4404,Positive,0.2333333333333333,Neutral,Neutral
The worst online purchase I have ever made.,Negative,1,the worst online purchase i have ever made,Negative,-0.6249,Negative,-1.0,Negative,Negative
"Fantastic purchase, no regrets at all.",Positive,5,fantastic purchase no regrets at all,Neutral,-0.0258,Positive,0.225,Positive,Positive
"This is a great buy, quality is superb.",Positive,5,this is a great buy quality is superb,Positive,0.8481,Positive,0.9,Positive,Positive
The item came broken and returning it was a hassle.,Negative,1,the item came broken and returning it was a hassle,Negative,-0.4767,Negative,-0.4,Negative,Negative
"Five stars, excellent quality and quick delivery.",Positive,5,five stars excellent quality and quick delivery,Positive,0.5719,Positive,0.6666666666666666,Positive,Positive
The product is okay but the instructions were confusing.,Neutral,3,the product is okay but the instructions were confusing,Negative,-0.2263,Neutral,0.1,Neutral,Neutral
I am extremely unhappy with this product.,Negative,1,i am extremely unhappy with this product,Negative,-0.4754,Negative,-0.6,Negative,Negative
Not exactly what I expected but acceptable.,Neutral,3,not exactly what i expected but acceptable,Positive,0.4497,Negative,-0.1125,Neutral,Neutral
"Excellent product, very sturdy and well designed.",Positive,5,excellent product very sturdy and well designed,Positive,0.7239,Positive,0.6,Positive,Positive
Does not work as advertised.,Negative,1,does not work as advertised,Neutral,0.0,Neutral,0.0,Negative,Negative
The product is okay but the instructions were confusing.,Neutral,3,the product is okay but the instructions were confusing,Negative,-0.2263,Neutral,0.1,Neutral,Neutral
"The quality is okay, nothing to write home about.",Neutral,3,the quality is okay nothing to write home about,Positive,0.2263,Positive,0.5,Neutral,Neutral
Not amazing but also not disappointing.,Neutral,3,not amazing but also not disappointing,Positive,0.3412,Neutral,-2.7755575615628914e-17,Neutral,Neutral
"Waste of packaging materials, the product is worthless.",Negative,1,waste of packaging materials the product is worthless,Negative,-0.6908,Negative,-0.5,Negative,Negative
Absolutely wonderful. Five stars!,Positive,5,absolutely wonderful five stars,Positive,0.6115,Positive,1.0,Positive,Positive
Defective item received. Sending back.,Negative,1,defective item received sending back,Negative,-0.4404,Neutral,0.0,Negative,Negative
Best investment I have made in a long time.,Positive,5,best investment i have made in a long time,Positive,0.6369,Positive,0.475,Positive,Positive
Not amazing but also not disappointing.,Neutral,3,not amazing but also not disappointing,Positive,0.3412,Neutral,-2.7755575615628914e-17,Neutral,Neutral
It serves its purpose but I would not buy again.,Neutral,3,it serves its purpose but i would not buy again,Neutral,0.0,Neutral,0.0,Neutral,Neutral
Great quality for the price.,Positive,5,great quality for the price,Positive,0.6249,Positive,0.8,Positive,Positive
Great quality materials and good construction.,Positive,5,great quality materials and good construction,Positive,0.7906,Positive,0.75,Positive,Positive
It does the job but I have seen better.,Neutral,3,it does the job but i have seen better,Positive,0.5927,Positive,0.5,Neutral,Neutral
The quality exceeded what I expected at this price point.,Positive,5,the quality exceeded what i expected at this price point,Neutral,0.0,Neutral,-0.1,Positive,Positive
Great quality materials and good construction.,Positive,5,great quality materials and good construction,Positive,0.7906,Positive,0.75,Positive,Positive
"Save your money, this is not worth anything.",Negative,1,save your money this is not worth anything,Positive,0.3682,Negative,-0.15,Negative,Negative
"Superb quality, would buy again.",Positive,5,superb quality would buy again,Positive,0.6249,Positive,1.0,Positive,Positive
"Good for basic needs, not for heavy use.",Neutral,3,good for basic needs not for heavy use,Positive,0.4404,Positive,0.16666666666666666,Neutral,Neutral
Fantastic build quality and very easy to use.,Positive,5,fantastic build quality and very easy to use,Positive,0.7778,Positive,0.4816666666666667,Positive,Positive
Not worth the price at all.,Negative,1,not worth the price at all,Negative,-0.1695,Negative,-0.15,Negative,Negative
Decent product but overpriced in my opinion.,Neutral,3,decent product but overpriced in my opinion,Neutral,0.0,Positive,0.16666666666666666,Neutral,Neutral
It gets the job done but could be better.,Neutral,3,it gets the job done but could be better,Positive,0.5927,Positive,0.5,Neutral,Neutral
